Species ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Authority	Infraspecific rank	Infraspecific name	Infraspecific authority	Stock/subpopulation	Synonyms	Common names (Eng)	Common names (Fre)	Common names (Spa)	Red List status	Red List criteria	Red List criteria version	Year assessed	Population trend	Petitioned
56054	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Acanthixalus	sonjae	Rödel, Kosuch, Veith and Ernst, 2003									NT		3.1	2006	decreasing	N
56055	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Acanthixalus	spinosus	(Buchholz and Peters, 1875)									LC		3.1	2004	decreasing	N
55286	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Acris	crepitans	Baird, 1854						Northern Cricket Frog			LC		3.1	2004	stable	N
55287	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Acris	gryllus	(Le Conte, 1825)						Southern Cricket Frog			LC		3.1	2004	stable	N
57660	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Adelastes	hylonomos	Zweifel, 1986					Adelastes hylonomus			Sapito Escondido	DD		3.1	2004	unknown	N
56299	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	ELEUTHERODACTYLIDAE	Adelophryne	adiastola	Hoogmoed and Lescure, 1984									LC		3.1	2004	stable	N
56300	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	ELEUTHERODACTYLIDAE	Adelophryne	baturitensis	Hoogmoed, Borges and Cascon, 1994									VU	B1ab(iii)	3.1	2004	decreasing	N
56301	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	ELEUTHERODACTYLIDAE	Adelophryne	gutturosa	Hoogmoed & Lescure, 1984						Guiana Shield Frog		Ranita Guturosa	LC		3.1	2004	stable	N
56302	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	ELEUTHERODACTYLIDAE	Adelophryne	maranguapensis	Hoogmoed, Borges and Cascon, 1994									EN	B1ab(iii)	3.1	2004	decreasing	N
56303	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	ELEUTHERODACTYLIDAE	Adelophryne	pachydactyla	Hoogmoed, Borges and Cascon, 1994									DD		3.1	2004	unknown	N
158609	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	ELEUTHERODACTYLIDAE	Adelophryne	patamona	MacCulloch, Lathrop, Kok, Minter, Khan & Barrio-Amorós, 2008									DD		3.1	2009	stable	N
520	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	LIMNODYNASTIDAE	Adelotus	brevis	(Günther, 1863)						Tusked Frog			NT		3.1	2004	decreasing	N
55179	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	DENDROBATIDAE	Adelphobates	castaneoticus	(Caldwell and Myers, 1990)					Dendrobates castaneoticus				LC		3.1	2004	stable	N
55185	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	DENDROBATIDAE	Adelphobates	galactonotus	(Steindachner, 1864)					Dendrobates galactonotus				LC		3.1	2004	decreasing	N
55197	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	DENDROBATIDAE	Adelphobates	quinquevittatus	(Steindachner, 1864)					Dendrobates quinquevittatus				LC		3.1	2004	stable	N
54457	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	BUFONIDAE	Adenomus	dasi	Manamendra-Arachchi and Pethiyagoda, 1998									CR	B1ab(iii)+2ab(iii)	3.1	2004	decreasing	N
54458	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	BUFONIDAE	Adenomus	kandianus	(Günther, 1872)									EX		3.1	2004		N
54459	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	BUFONIDAE	Adenomus	kelaartii	(Günther, 1858)					Adenomus badioflavus				EN	B1ab(iii)+2ab(iii)	3.1	2004	decreasing	N
596	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	aureus	Pickersgill, 1984						Golden Banana Frog			LC		3.1	2004	stable	N
56056	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	brachycnemis	(Boulenger, 1896)						Lesser Banana Frog			LC		3.1	2004	decreasing	N
56057	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	clarkei	Largen, 1974					Afrixalus clarkeorum				VU	B1ab(iii)	3.1	2004	decreasing	N
56058	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	crotalus	Pickersgill, 1984									LC		3.1	2004	decreasing	N
56059	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	delicatus	Pickersgill, 1984						Pickersgill's Banana Frog			LC		3.1	2004	decreasing	N
56060	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	dorsalis	(Peters, 1875)					Hyperolius dorsalis	Brown Banana Frog, Cameroon Banana Frog, Striped Spiny Reed Frog			LC		3.1	2004	increasing	N
136149	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	dorsimaculatus	(Ahl, 1930)									VU	B1ab(iii)	3.1	2008	decreasing	N
56061	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	enseticola	Largen, 1974						Ethiopian Banana Frog			VU	B2ab(iii)	3.1	2004	decreasing	N
56062	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	equatorialis	(Laurent, 1941)						Congo Banana Frog			LC		3.1	2004	unknown	N
56063	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	fornasini	(Bianconi, 1849)									LC		3.1	2004	stable	N
56064	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	fulvovittatus	(Cope, 1860)					Afrixalus vittiger|Hyperolius brevipalmatus|Hyperolius leptosomus	Banded Banana Frog			LC		3.1	2004	stable	N
56065	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	knysnae	(Loveridge, 1954)						Knysna Banana Frog			EN	B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)	3.1	2004	decreasing	N
56066	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	lacteus	Perret, 1976									EN	B1ab(i,iii)	3.1	2004	decreasing	N
56067	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	laevis	(Ahl, 1930)									LC		3.1	2004	decreasing	N
56068	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	leucostictus	Laurent, 1950									LC		3.1	2004	decreasing	N
56069	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	lindholmi	(Andersson, 1907)									DD		3.1	2004	unknown	N
56070	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	morerei	Dubois, 1986					Afrixalus dabagae				VU	B1ab(iii)	3.1	2004	decreasing	N
56071	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	nigeriensis	Schiøtz, 1963						Nigeria Banana Frog			NT		3.1	2004	stable	N
56072	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	orophilus	(Laurent, 1947)									VU	B1ab(iii)	3.1	2004	decreasing	N
56073	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	osorioi	(Ferreira, 1906)					Rappia osorioi	Angola Banana Frog, Congro Spiny Reed Frog, Osorio's Spiny Reed Frog			LC		3.1	2004	increasing	N
56074	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	paradorsalis	Perret, 1960									LC		3.1	2004	stable	N
56075	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	quadrivittatus	(Werner, 1907)									LC		3.1	2004	stable	N
56076	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	schneideri	(Boettger, 1899)									DD		3.1	2004	unknown	N
56077	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	septentrionalis	Schiøtz, 1974									LC		3.1	2004	stable	N
56078	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	spinifrons	(Cope, 1862)						Natal Banana Frog			VU	B2ab(ii,iii,iv,v)	3.1	2004	decreasing	N
56079	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	stuhlmanni	(Pfeffer, 1893)									LC		3.1	2004	unknown	N
56080	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	sylvaticus	Schiøtz, 1974									EN	B2ab(iii)	3.1	2004	decreasing	N
56081	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	uluguruensis	(Barbour and Loveridge, 1928)									EN	B1ab(iii)	3.1	2008	decreasing	N
56082	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	upembae	(Laurent, 1941)									DD		3.1	2004	unknown	N
56083	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	vibekensis	Schiøtz, 1967									NT		3.1	2004	decreasing	N
56084	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	vittiger	(Peters, 1876)					Hyperolius vittiger	Savanna Banana Frog, Spiny Reed Frog			LC		3.1	2004	stable	N
56085	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	weidholzi	(Mertens, 1938)					Megalixalus weidholzi	Weidholz's Banana Frog			LC		3.1	2004	stable	N
56086	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Afrixalus	wittei	(Laurent, 1941)									LC		3.1	2004	stable	N
55288	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Agalychnis	annae	Duellman, 1963						Blue-sided Treefrog			EN	A2abe	3.1	2008	decreasing	N
55290	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Agalychnis	callidryas	(Cope, 1862)					Agalychnis callidryas ssp. taylori|Agalychnis helenae	Red-eyed Treefrog		Rana Arborícola	LC		3.1	2008	decreasing	N
55292	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Agalychnis	litodryas	(Duellman and Trueb, 1967)						Pink-sided Treefrog			VU	B1ab(iii)	3.1	2004	decreasing	N
55293	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Agalychnis	moreletii	(Duméril, 1853)						Morelet's Treefrog			CR	A3e	3.1	2004	decreasing	N
55294	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Agalychnis	saltator	Taylor, 1955									LC		3.1	2008	stable	N
55295	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Agalychnis	spurrelli	Boulenger, 1913						Gliding Treefrog			LC		3.1	2008	decreasing	N
57383	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MANTELLIDAE	Aglyptodactylus	laticeps	Glaw, Vences, Böhme, 1998									EN	B1ab(iii)	3.1	2008	decreasing	N
57384	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MANTELLIDAE	Aglyptodactylus	madagascariensis	(Duméril, 1853)									LC		3.1	2008	decreasing	N
57385	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MANTELLIDAE	Aglyptodactylus	securifer	Glaw, Vences, Böhme, 1998									LC		3.1	2008	decreasing	N
57661	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	brunhildae	Menzies, 1999									LC		3.1	2006	unknown	N
57662	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	darlingtoni	(Loveridge, 1948)									LC		3.1	2004	unknown	N
61843	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	exclamitans	Kraus and Allison, 2005									DD		3.1	2006	unknown	N
57663	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	fafniri	Menzies, 1999									DD		3.1	2004	unknown	N
57664	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	gudrunae	Menzies, 1999									DD		3.1	2004	unknown	N
57665	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	gunnari	Menzies, 1999									DD		3.1	2006	unknown	N
57666	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	laurini	Günther, 2000									DD		3.1	2004	unknown	N
57667	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	rhenaurum	Menzies, 1999					Albericus rheaurum				DD		3.1	2004	unknown	N
61844	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	sanguinopictus	Kraus and Allison, 2005									DD		3.1	2006	unknown	N
57668	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	siegfriedi	Menzies, 1999									CR	B1ab(iii)	3.1	2004	decreasing	N
57669	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	swanhildae	Menzies, 1999									LC		3.1	2004	stable	N
57670	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	tuberculus	(Richards, Johnston and Burton, 1992)									LC		3.1	2004	stable	N
57671	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	valkuriarum	Menzies, 1999									LC		3.1	2004	stable	N
57672	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Albericus	variegatus	(van Kampen, 1923)									DD		3.1	2004	unknown	N
56087	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Alexteroon	hypsiphonus	Amiet, 2000									LC		3.1	2004	decreasing	N
56088	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Alexteroon	jynx	Amiet, 2000									CR	B1ab(iii)+2ab(iii)	3.1	2004	decreasing	N
56089	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYPEROLIIDAE	Alexteroon	obstetricans	(Ahl, 1931)									LC		3.1	2004	decreasing	N
55045	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	alessandroi	(Grant & Rodríguez, 2001)					Colostethus alessandroi				DD		3.1	2004	unknown	N
55058	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	bromelicola	(Test, 1956)					Colostethus bromelicola			Sapito Ninera Bromelicola	DD		3.1	2004	unknown	N
55059	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	brunneus	(Cope, 1887)					Colostethus brunneus			Sapito Ninera Del Brasil	LC		3.1	2004	unknown	N
55060	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	caeruleodactylus	(Lima & Caldwell, 2001)					Colostethus caeruleodactylus				DD		3.1	2004	unknown	N
136097	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	caribe	(Barrio-Amorós, Rivas & Kaiser, 2006)					Colostethus caribe				DD		3.1	2008	unknown	N
55064	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	cepedai	(Morales, 2002 "2000")					Colostethus cepedai|Colostethus cepedai				DD		3.1	2004	unknown	N
55066	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	chalcopis	(Kaiser, Coloma and Gray, 1994)					Colostethus chalcopis|Colostethus chalcopis	Martinique Volcano Frog			VU	D2	3.1	2004	stable	N
55068	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	conspicuus	(Morales, 2002)					Colostethus conspicuus				DD		3.1	2004	unknown	N
55069	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	crombiei	(Morales, 2002)					Colostethus crombiei				DD		3.1	2004	unknown	N
55038	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	femoralis	(Boulenger, 1884)							Epipedobate Fémoral		LC		3.1	2004	stable	N
55084	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	fratisenescus	(Morales, 2002)					Colostethus fratisenescus				DD		3.1	2004	unknown	N
55088	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	fuscellus	(Morales, 2002)					Colostethus fuscellus				DD		3.1	2004	unknown	N
55089	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	gasconi	(Morales, 2002)					Colostethus gasconi				DD		3.1	2004	unknown	N
55090	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	goianus	(Bokermann, 1975)					Colostethus goianus				DD		3.1	2004	unknown	N
136167	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	granti	(Kok, MacCulloch, Gaucher, Poelman, Bourne, Lathrop & Lenglet, 2006)					Colostethus granti				LC		3.1	2008	unknown	N
55092	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	humilis	(Rivero, 1978)					Colostethus humilis			Sapito Ninera Humilde	VU	D2	3.1	2004	stable	N
55097	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	insperatus	(Morales, 2002)					Colostethus insperatus				LC		3.1	2004	stable	N
55099	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	juanii	(Morales, 1994)					Colostethus juanii				CR	B2ab(i,iii)	3.1	2004	decreasing	N
55100	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	kingsburyi	(Boulenger, 1918)					Colostethus kingsburyi				EN	B1ab(iii)	3.1	2004	decreasing	N
55108	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	mandelorum	(Schmidt, 1932)					Colostethus mandelorum			Sapito Ninera Oriental	EN	B1ab(iii)	3.1	2004	decreasing	N
55110	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	marchesianus	(Melin, 1941)					Colostethus marchesianus			Sapito Ninera Del Vaupes	LC		3.1	2004	stable	N
55112	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	masniger	(Morales, 2002)					Colostethus masniger				DD		3.1	2004	unknown	N
55113	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	mcdiarmidi	(Reynolds & Foster, 1992)					Colostethus mcdiarmidi				NT		3.1	2004	decreasing	N
55114	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	melanolaemus	(Grant & Rodríguez, 2001)					Colostethus melanolaemus				DD		3.1	2004	unknown	N
55228	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	myersi	(Pyburn, 1981)					Epipedobates myersi				LC		3.1	2004	stable	N
55120	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	nidicola	(Caldwell & Lima, 2003)					Colostethus nidicola				DD		3.1	2004	unknown	N
136098	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	niputidea	Grant, Acosta & Rada, 2007									LC		3.1	2008	unknown	N
55122	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	olfersioides	(A. Lutz, 1925)					Eupemphix olfersioides|Phyllobates alagoanus|Phyllobates capixaba|Phyllobates carioca				VU	A2a; B2ab(iii)	3.1	2008	decreasing	N
55123	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	ornatus	(Morales, 2002)					Colostethus ornatus				DD		3.1	2004	unknown	N
55131	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	picachos	(Ardila-Robayo, Acosta-Galvis & Coloma, 2000)					Allobates picacho|Colostethus picachos				DD		3.1	2004	unknown	N
61765	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	pittieri	(La Marca, Manzanilla & Mijares-Urrutia, 2004)					Colostethus pittieri				LC		3.1	2006	stable	N
55141	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	ranoides	(Boulenger, 1918)					Colostethus ranoides				EN	B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)	3.1	2004	decreasing	N
55235	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	rufulus	(Gorzula, 1990)					Epipedobates rufulus			Sapito Rufo Del Chimanta, Sira Poison Frog	DD		3.1	2004	unknown	N
55147	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	sanmartini	(Rivero, Langone & Prigione, 1986)					Colostethus sanmartini			Sapito Ninera De San Martin	DD		3.1	2004	unknown	N
135872	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	spumaponens	Kok & Ernst, 2007									DD		3.1	2008	unknown	N
135892	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	subfolionidificans	(Lima, Sanchez & Souza, 2007)					Colostethus subfolionidificans				VU	D2	3.1	2008	stable	N
55153	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	sumtuosus	(Morales, 2002)					Colostethus sumtuosus				DD		3.1	2004	unknown	N
55155	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	talamancae	(Cope, 1875)					Colostethus talamancae				LC		3.1	2008	stable	N
55160	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	trilineatus	(Boulenger, 1883)					Colostethus trilineatus				LC		3.1	2004	stable	N
55161	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	undulatus	(Myers & Donnelly, 2001)					Colostethus undulatus				DD		3.1	2004	unknown	N
55163	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	vanzolinius	(Morales, 2002)					Colostethus vanzolinius				DD		3.1	2004	unknown	N
55166	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	wayuu	(Acosta, Cuentas & Coloma, 1999)					Colostethus wayuu				VU	D2	3.1	2004	unknown	N
55039	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	AROMOBATIDAE	Allobates	zaparo	(Silverstone, 1976)						Sanguine Poison Frog, Zaparo's Poison Frog		Rana Venenosa	LC		3.1	2004	unknown	N
58426	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	DICROGLOSSIDAE	Allopaa	hazarensis	(Dubois & Khan, 1979)					Paa hazarensis|Rana barmoachensis				LC		3.1	2008	stable	N
59659	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CENTROLENIDAE	Allophryne	ruthveni	Gaige, 1926									LC		3.1	2004	decreasing	N
56313	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	australis	Formas, Ubeda, Cuevas and Nuñez, 1997									DD		3.1	2004	unknown	N
928	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	barrioi	Veloso, Díaz, Iturra, Penna, 1981									VU	A3c	3.1	2004	decreasing	N
56314	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	gargola	Gallardo, 1970					Alsodes gargola ssp. neuquensis|Alsodes gargola neuquensis				LC		3.1	2004	stable	N
56315	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	hugoi	Cuevas and Formas, 2001									DD		3.1	2004	unknown	N
61800	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	igneus	Cuevas and Formas, 2005									DD		3.1	2006	unknown	N
56316	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	kaweshkari	Formas, Cuevas, Núñez, 1998									DD		3.1	2004	unknown	N
56317	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	laevis	(Philippi, 1902)									DD		3.1	2004	unknown	N
929	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	montanus	(Lataste, 1902)									CR	B1ab(iii,v)+2ab(iii,v)	3.1	2004	decreasing	N
56318	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	monticola	Bell, 1843					Caccotus coppingeri|Eupsophus coppingeri				DD		3.1	2004	unknown	N
930	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	nodosus	(Duméril and Bibron, 1841)					Borborocoetes kriegi|Borborocoetus valdivianus|Cacotus maculatus|Cystignathus cinerascens|Cystignathus granulatus|Cystignathus zebra|Paludicola illotus|Paludicola muelleri			Sapo Arriero	NT		3.1	2004	decreasing	N
56319	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	pehuenche	Cei, 1976									DD		3.1	2004	unknown	N
40785	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	tumultuosus	Veloso, Iturra, Galleguillos, 1979									CR	B1ab(iii,v)+2ab(iii,v)	3.1	2004	decreasing	N
56320	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	valdiviensis	Formas, Cuevas and Brieva, 2002									DD		3.1	2004	unknown	N
932	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	vanzolinii	(Donoso-Barros, 1974)									CR	A2ac;B2ab(iii)	3.1	2004	decreasing	N
56321	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	verrucosus	(Philippi, 1902)									DD		3.1	2004	unknown	N
56322	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	CYCLORAMPHIDAE	Alsodes	vittatus	(Philippi, 1902)									DD		3.1	2004	unknown	N
57673	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	MICROHYLIDAE	Altigius	alios	Wild, 1995									DD		3.1	2004	unknown	N
54460	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	BUFONIDAE	Altiphrynoides	malcolmi	(Grandison, 1978)									EN	B1ab(iii)+2ab(iii)	3.1	2004	decreasing	N
54886	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	BUFONIDAE	Altiphrynoides	osgoodi	(Loveridge, 1932)					Spinophrynoides osgoodi				VU	B1ab(iii)+2ab(iii)	3.1	2004	decreasing	N
55266	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	ALYTIDAE	Alytes	cisternasii	Boscá, 1879						Iberian Midwife Toad		Sapo Partero Ibérico	NT		3.1	2008	decreasing	N
